Goods and Services Tax  - IMS
9B - Credit / Debit Notes (Registered)
Recipient GSTIN,Trade/Legal Name,Note Number,Note Date,Note Type,Note Supply Type,Note Value (₹),Total Taxable Value (₹),Integrated Tax (₹),Central Tax (₹),State/UT Tax (₹),Cess (₹),Return Period,Reported in Form,Status,Remarks by Recipient
19DZMPS9792F1Z9,S.S.SHEET METAL WORKS,CN/MH/AUG25/1404,31/08/2025,Credit,Regular,23961,19675,984,0,0,0,08/2025,GSTR-1/IFF,Rejected,No remarks available
19DZMPS9792F1Z9,S.S.SHEET METAL WORKS,CN/MH/AUG25/1406,31/08/2025,Credit,Regular,23961,19675,984,0,0,0,08/2025,GSTR-1/IFF,Rejected,No remarks available
19DZMPS9792F1Z9,S.S.SHEET METAL WORKS,CN/MH/AUG25/1405,31/08/2025,Credit,Regular,23961,19675,984,0,0,0,08/2025,GSTR-1/IFF,Rejected,No remarks available
19DZMPS9792F1Z9,S.S.SHEET METAL WORKS,CN/MH/AUG25/1039,31/08/2025,Credit,Regular,18336,14320,716,0,0,0,08/2025,GSTR-1/IFF,Rejected,No remarks available
19DZMPS9792F1Z9,S.S.SHEET METAL WORKS,CN/MH/AUG25/1038,31/08/2025,Credit,Regular,18336,14320,716,0,0,0,08/2025,GSTR-1/IFF,Rejected,No remarks available
19DZMPS9792F1Z9,S.S.SHEET METAL WORKS,CN/MH/AUG25/1408,31/08/2025,Credit,Regular,23963,19675,984,0,0,0,08/2025,GSTR-1/IFF,Rejected,No remarks available
19DZMPS9792F1Z9,S.S.SHEET METAL WORKS,CN/MH/AUG25/1407,31/08/2025,Credit,Regular,23963,19675,984,0,0,0,08/2025,GSTR-1/IFF,Rejected,No remarks available
27AAACB1534F2Z5,BANK OF BARODA,CN/MH/AUG25/1459,31/08/2025,Credit,Regular,46721,41495,0,1037.5,1037.5,0,08/2025,GSTR-1/IFF,Rejected,No remarks available
27AAACT2727Q1ZW,TATA MOTORS PASSENGER VEHICLES LIMITED,CN/MH/AUG25/1572,31/08/2025,Credit,Regular,302228,263196,0,15792,15792,0,08/2025,GSTR-1/IFF,Rejected,No remarks available
27AAAFT3015C1ZS,TUBEFIT ENGINEERS,CN/MH/AUG25/1153,31/08/2025,Credit,Regular,15826,13095,0,327.5,327.5,0,08/2025,GSTR-1/IFF,Rejected,No remarks available
27AAJCT0763F1ZA,TATA PASSENGER ELECTRIC MOBIITY LIMITED,CN/MH/AUG25/1875,31/08/2025,Credit,Regular,93200,81762,0,2044.5,2044.5,0,08/2025,GSTR-1/IFF,Rejected,No remarks available
