Goods and Services Tax  - IMS
9B - Credit / Debit Notes (Registered)
Recipient GSTIN,Trade/Legal Name,Note Number,Note Date,Note Type,Note Supply Type,Note Value (₹),Total Taxable Value (₹),Integrated Tax (₹),Central Tax (₹),State/UT Tax (₹),Cess (₹),Return Period,Reported in Form,Status,Remarks by Recipient
19DZMPS9792F1Z9,S.S.SHEET METAL WORKS,CN/MH/JUL25/2442,31/07/2025,Credit,Regular,15208,11350,568,0,0,0,07/2025,GSTR-1/IFF,Rejected,No remarks available
19DZMPS9792F1Z9,S.S.SHEET METAL WORKS,CN/MH/JUL25/1710,31/07/2025,Credit,Regular,15626,11760,588,0,0,0,07/2025,GSTR-1/IFF,Rejected,No remarks available
19DZMPS9792F1Z9,S.S.SHEET METAL WORKS,CN/MH/JUL25/1711,31/07/2025,Credit,Regular,15626,11760,588,0,0,0,07/2025,GSTR-1/IFF,Rejected,No remarks available
19DZMPS9792F1Z9,S.S.SHEET METAL WORKS,CN/MH/JUL25/1712,31/07/2025,Credit,Regular,15626,11760,588,0,0,0,07/2025,GSTR-1/IFF,Rejected,No remarks available
19DZMPS9792F1Z9,S.S.SHEET METAL WORKS,CN/MH/JUL25/1706,31/07/2025,Credit,Regular,19254,15210,761,0,0,0,07/2025,GSTR-1/IFF,Rejected,No remarks available
19DZMPS9792F1Z9,S.S.SHEET METAL WORKS,CN/MH/JUL25/1707,31/07/2025,Credit,Regular,19254,15210,761,0,0,0,07/2025,GSTR-1/IFF,Rejected,No remarks available
19DZMPS9792F1Z9,S.S.SHEET METAL WORKS,CN/MH/JUL25/1708,31/07/2025,Credit,Regular,19254,15210,761,0,0,0,07/2025,GSTR-1/IFF,Rejected,No remarks available
27AAACT2727Q1ZW,TATA MOTORS PASSENGER VEHICLES LIMITED,CN/MH/JUL25/1786,31/07/2025,Credit,Regular,53938,44120,0,1103,1103,0,07/2025,GSTR-1/IFF,Rejected,No remarks available
27AAFCC8016L1ZG,CPPIB INDIA ADVISORS PRIVATE LIMITED,CN/MH/JUL25/1094,31/07/2025,Credit,Regular,412547,356637,0,21398.5,21398.5,0,07/2025,GSTR-1/IFF,Rejected,No remarks available
27AAFCC8016L1ZG,CPPIB INDIA ADVISORS PRIVATE LIMITED,CN/MH/JUL25/2031,31/07/2025,Credit,Regular,290650,250951,0,15057.5,15057.5,0,07/2025,GSTR-1/IFF,Rejected,No remarks available
