Goods and Services Tax  - IMS
9B - Credit / Debit Notes (Registered)
Recipient GSTIN,Trade/Legal Name,Note Number,Note Date,Note Type,Note Supply Type,Note Value (₹),Total Taxable Value (₹),Integrated Tax (₹),Central Tax (₹),State/UT Tax (₹),Cess (₹),Return Period,Reported in Form,Status,Remarks by Recipient
09AABCM4573E1ZH,CAPGEMINI TECHNOLOGY SERVICES INDIA LIMITED,CN/MH/JUN25/2282,30/06/2025,Credit,SEZWP,78782,60694,3035,0,0,0,06/2025,GSTR-1/IFF,Rejected,No remarks available
19DZMPS9792F1Z9,S.S.SHEET METAL WORKS,CN/MH/JUN25/1291,30/06/2025,Credit,Regular,16912,12995,650,0,0,0,06/2025,GSTR-1/IFF,Rejected,No remarks available
19DZMPS9792F1Z9,S.S.SHEET METAL WORKS,CN/MH/JUN25/1353,30/06/2025,Credit,Regular,16921,12995,650,0,0,0,06/2025,GSTR-1/IFF,Rejected,No remarks available
24AABCM4573E2ZO,Capgemini Technology Services India Limited,CN/MH/JUN25/1956,30/06/2025,Credit,Regular,78773,60676,3034,0,0,0,06/2025,GSTR-1/IFF,Rejected,No remarks available
27AAACE5273A1Z1,EXCEL ENTERTAINMENT PRIVATE LIMITED,CN/MH/JUN25/1828,30/06/2025,Credit,Regular,186744,163716,0,9823,9823,0,06/2025,GSTR-1/IFF,Rejected,No remarks available
27AAACE5273A1Z1,EXCEL ENTERTAINMENT PRIVATE LIMITED,CN/MH/JUN25/1829,30/06/2025,Credit,Regular,55311,49545,0,1239,1239,0,06/2025,GSTR-1/IFF,Rejected,No remarks available
27AAACK0251C1Z7,KEI INDUSTRIES LIMITED,CN/MH/JUN25/2128,30/06/2025,Credit,Regular,12533,9985,0,250,250,0,06/2025,GSTR-1/IFF,Rejected,No remarks available
27AABCM4573E1ZJ,CAPGEMINI TECHNOLOGY SERVICES INDIA LIMITED,CN/MH/JUN25/2024,30/06/2025,Credit,Regular,79416,66970,0,1674.5,1674.5,0,06/2025,GSTR-1/IFF,Rejected,No remarks available
27AABCM4573E2ZI,Capgemini Technology Services India Limited,CN/MH/JUN25/1092,30/06/2025,Credit,SEZWP,78509,60511,3026,0,0,0,06/2025,GSTR-1/IFF,Rejected,No remarks available
27AABCM4573E2ZI,Capgemini Technology Services India Limited,CN/MH/JUN25/1390,30/06/2025,Credit,SEZWP,81809,63618,3181,0,0,0,06/2025,GSTR-1/IFF,Rejected,No remarks available
27AABCM4573E2ZI,Capgemini Technology Services India Limited,CN/MH/JUN25/1955,30/06/2025,Credit,SEZWP,81809,63618,3181,0,0,0,06/2025,GSTR-1/IFF,Rejected,No remarks available
27AACCN0478J1ZA,NAHAR INTEGRATED SYSTEM SERVICES PRIVATE LIMITED,CN/MH/JUN25/1842,30/06/2025,Credit,Regular,68563,58405,0,1460.5,1460.5,0,06/2025,GSTR-1/IFF,Rejected,No remarks available
27AAHCT8301P1ZT,TATA MOTORS PASSENGER VEHICLES LIMITED,CN/MH/JUN25/1962,30/06/2025,Credit,Regular,30449,26040,0,651,651,0,06/2025,GSTR-1/IFF,Rejected,No remarks available
