Goods and Services Tax  - IMS
9B - Credit / Debit Notes (Registered)
Recipient GSTIN,Trade/Legal Name,Note Number,Note Date,Note Type,Note Supply Type,Note Value (₹),Total Taxable Value (₹),Integrated Tax (₹),Central Tax (₹),State/UT Tax (₹),Cess (₹),Return Period,Reported in Form,Status,Remarks by Recipient
19DZMPS9792F1Z9,S.S.SHEET METAL WORKS,CN/MH/MAY25/2717,31/05/2025,Credit,Regular,22180,18000,900,0,0,0,05/2025,GSTR-1/IFF,Rejected,No remarks available
19DZMPS9792F1Z9,S.S.SHEET METAL WORKS,CN/MH/MAY25/2718,31/05/2025,Credit,Regular,22180,18000,900,0,0,0,05/2025,GSTR-1/IFF,Rejected,No remarks available
19DZMPS9792F1Z9,S.S.SHEET METAL WORKS,CN/MH/MAY25/2719,31/05/2025,Credit,Regular,27434,22995,1150,0,0,0,05/2025,GSTR-1/IFF,Rejected,No remarks available
24AAECV5055H1ZC,VIBRANT COTFAB PRIVATE LIMITED,CN/MH/MAY25/1424,31/05/2025,Credit,Regular,281270,241816,29018,0,0,0,05/2025,GSTR-1/IFF,Rejected,No remarks available
24AAECV5055H1ZC,VIBRANT COTFAB PRIVATE LIMITED,CN/MH/MAY25/1423,31/05/2025,Credit,Regular,281270,241816,29018,0,0,0,05/2025,GSTR-1/IFF,Rejected,No remarks available
27AABCE4857D1ZQ,VITESCO TECHNOLOGIES INDIA PRIVATE LIMITED,CN/MH/MAY25/2652,31/05/2025,Credit,Regular,85950,73986,0,1850,1850,0,05/2025,GSTR-1/IFF,Rejected,No remarks available
27AAFCC8016L1ZG,CPPIB INDIA ADVISORS PRIVATE LIMITED,CN/MH/MAY25/1115,31/05/2025,Credit,Regular,213981,186970,0,11218.5,11218.5,0,05/2025,GSTR-1/IFF,Rejected,No remarks available
27AAFCC8016L1ZG,CPPIB INDIA ADVISORS PRIVATE LIMITED,CN/MH/MAY25/1170,31/05/2025,Credit,Regular,213981,186970,0,11218.5,11218.5,0,05/2025,GSTR-1/IFF,Rejected,No remarks available
27AAFCC8016L1ZG,CPPIB INDIA ADVISORS PRIVATE LIMITED,CN/MH/MAY25/1618,31/05/2025,Credit,Regular,378769,330582,0,19835,19835,0,05/2025,GSTR-1/IFF,Rejected,No remarks available
27AAIPW4350K1Z7,RIDDHI WALLIA MIRABILIS INC,CN/MH/MAY25/2844,31/05/2025,Credit,Regular,60722,51781,0,1294.5,1294.5,0,05/2025,GSTR-1/IFF,Rejected,No remarks available
27AAIPW4350K1Z7,RIDDHI WALLIA MIRABILIS INC,CN/MH/MAY25/2845,31/05/2025,Credit,Regular,60722,51781,0,1294.5,1294.5,0,05/2025,GSTR-1/IFF,Rejected,No remarks available
27ABMCS6972R1Z2,Siemens Energy India Limited,CN/MH/MAY25/1106,31/05/2025,Credit,Regular,74114,64788,0,1620,1620,0,05/2025,GSTR-1/IFF,Rejected,No remarks available
