Goods and Services Tax  - IMS
"4A, 4B, 6B, 6C - B2B, SEZ, DE Invoices"
Recipient GSTIN,Trade/Legal Name,Invoice Number,Invoice Date,Invoice Type,Total Invoice Value (₹),Total Taxable Value (₹),Integrated Tax (₹),Central Tax (₹),State/UT Tax (₹),Cess (₹),Return Period,Reported in Form,Status,Remarks by Recipient
06AAECI9044D1ZQ,ISSGF INDIA PRIVATE LIMITED,CAL/NV/00070/26,10/04/2026,Regular,1180,1000,180,0,0,0,04/2026,GSTR-1/IFF,Accepted,No remarks available
19AAACB1770H1ZT,AGARWAL INDUSTRIAL CORPORATION LIMITED,HLD/NV/00054/26,21/04/2026,Regular,7852,6654,0,598.86,598.86,0,04/2026,GSTR-1/IFF,No Action,No remarks available
19AAACB2902M1ZQ,BHARAT PETROLEUM CORPORATION LIMITED,HLD/NV/00003/26,07/04/2026,Regular,51153,43350,0,3901.5,3901.5,0,04/2026,GSTR-1/IFF,No Action,No remarks available
19AAACC0457C1Z4,GRAPHITE INDIA LTD.,CAL/NV/00116/26,16/04/2026,Regular,7080,6000,0,540,540,0,04/2026,GSTR-1/IFF,No Action,No remarks available
19AAACC0457C1Z4,GRAPHITE INDIA LTD.,CAL/NV/00204/26,24/04/2026,Regular,8850,7500,0,675,675,0,04/2026,GSTR-1/IFF,No Action,No remarks available
19AAACC0457C1Z4,GRAPHITE INDIA LTD.,CAL/NV/00241/26,28/04/2026,Regular,14160,12000,0,1080,1080,0,04/2026,GSTR-1/IFF,No Action,No remarks available
19AAACC0457C1Z4,GRAPHITE INDIA LTD.,CAL/NV/00205/26,24/04/2026,Regular,21240,18000,0,1620,1620,0,04/2026,GSTR-1/IFF,No Action,No remarks available
19AAACC0457C1Z4,GRAPHITE INDIA LTD.,CAL/NV/00239/26,28/04/2026,Regular,28320,24000,0,2160,2160,0,04/2026,GSTR-1/IFF,No Action,No remarks available
19AAACC0457C1Z4,GRAPHITE INDIA LTD.,CAL/NV/00240/26,28/04/2026,Regular,1475,1250,0,112.5,112.5,0,04/2026,GSTR-1/IFF,No Action,No remarks available
19AAACC0457C1Z4,GRAPHITE INDIA LTD.,HLD/NV/00080/26,28/04/2026,Regular,4425,3750,0,337.5,337.5,0,04/2026,GSTR-1/IFF,No Action,No remarks available
19AAACC0457C1Z4,GRAPHITE INDIA LTD.,CAL/NV/00115/26,16/04/2026,Regular,7080,6000,0,540,540,0,04/2026,GSTR-1/IFF,No Action,No remarks available
19AAACC0457C1Z4,GRAPHITE INDIA LTD.,CAL/NV/00124/26,16/04/2026,Regular,38940,33000,0,2970,2970,0,04/2026,GSTR-1/IFF,No Action,No remarks available
19AAACC0457C1Z4,GRAPHITE INDIA LTD.,CAL/NV/00114/26,16/04/2026,Regular,1475,1250,0,112.5,112.5,0,04/2026,GSTR-1/IFF,No Action,No remarks available
19AAACC0457C1Z4,GRAPHITE INDIA LTD.,CAL/NV/00237/26,28/04/2026,Regular,8850,7500,0,675,675,0,04/2026,GSTR-1/IFF,No Action,No remarks available
19AAACC0457C1Z4,GRAPHITE INDIA LTD.,CAL/NV/00238/26,28/04/2026,Regular,11800,10000,0,900,900,0,04/2026,GSTR-1/IFF,No Action,No remarks available
19AAACF0474A1Z4,FAIRMACS SHIPPING AND TRANSPORT SERVICES PRIVATE LIMITED,CAL/NV/00101/26,13/04/2026,Regular,4720,4000,0,360,360,0,04/2026,GSTR-1/IFF,Accepted,No remarks available
19AAACH7475H1Z9,HIMADRI SPECIALITY CHEMICAL LTD,HLD/NV/00039/26,16/04/2026,Regular,7702,6527,0,587.43,587.43,0,04/2026,GSTR-1/IFF,No Action,No remarks available
19AAACH7475H1Z9,HIMADRI SPECIALITY CHEMICAL LTD,HLD/NV/00038/26,16/04/2026,Regular,7822,6629,0,596.61,596.61,0,04/2026,GSTR-1/IFF,No Action,No remarks available
